Time;	Current pack;	Current item;	Check;	ERA;	
22:32:49;	V34;	I34;	OK;	 ;
22:32:52;	V34;	I34;	OK;	A346456;
22:33:44;	V564787;	I564787;	OK;	 ;
22:33:45;	V564787;	I564787;	OK;	 ;
22:33:46;	V564787;	I564787;	OK;	 ;
22:33:46;	V564787;	I564787;	OK;	 ;
22:33:47;	V564787;	I564787;	OK;	 ;
22:33:47;	V564787;	I564787;	OK;	 ;
22:33:48;	V564787;	I564787;	OK;	 ;
22:33:49;	V564787;	I564787;	OK;	 ;
22:33:49;	V564787;	I564787;	OK;	 ;
22:33:49;	V564787;	I564787;	OK;	 ;
22:33:50;	V564787;	I564787;	OK;	 ;
22:33:50;	V564787;	I564787;	OK;	 ;
22:33:51;	V564787;	I564787;	OK;	 ;
22:33:51;	V564787;	I564787;	OK;	 ;
22:33:51;	V564787;	I564787;	OK;	A56456675678;
