Time;	Current pack;	Current item;	Check;	ERA;	
11:14:18;	V45;	I45;	OK;	 ;
11:14:21;	V45;	I46;	Error;	 ;
11:14:33;	V45;	I45;	OK;	 ;
11:14:35;	V45;	I67;	Error;	 ;
11:14:56;	V45;	I45;	OK;	 ;
11:17:05;	V33;	I33;	OK;	 ;
11:17:07;	V33;	I34;	Error;	 ;
11:17:14;	V33;	I33;	OK;	 ;
11:17:18;	V33;	I33;	OK;	I456;
11:18:48;	;	I876873456;	Error;	 ;
11:22:03;	V33;	I33;	OK;	 ;
11:25:35;	V33;	I33;	OK;	 ;
11:25:39;	V33;	I33;	OK;	 ;
11:32:51;	V67;	I67;	OK;	 ;
11:32:55;	V67;	I67;	OK;	 ;
11:32:58;	V67;	I67;	OK;	 ;
11:34:37;	V55;	I55;	OK;	 ;
11:34:39;	V55;	I55;	OK;	I555;
11:35:03;	V44;	I44;	OK;	44;
