Time;	Current pack;	Current item;	Check;	ERA;	
15:08:00;	V33;	I33;	OK;	 ;
15:08:06;	V33;	I33;	OK;	A333;
15:08:33;	V45;	I45;	OK;	 ;
15:08:34;	V45;	I45;	OK;	 ;
15:08:35;	V45;	I45;	OK;	 ;
15:08:35;	V45;	I45;	OK;	 ;
15:08:36;	V45;	I45;	OK;	 ;
15:08:36;	V45;	I45;	OK;	 ;
15:08:36;	V45;	I45;	OK;	 ;
15:08:37;	V45;	I45;	OK;	 ;
15:08:37;	V45;	I45;	OK;	 ;
15:08:38;	V45;	I45;	OK;	 ;
15:08:38;	V45;	I45;	OK;	 ;
15:08:38;	V45;	I45;	OK;	 ;
15:08:39;	V45;	I45;	OK;	 ;
15:08:39;	V45;	I45;	OK;	 ;
15:08:39;	V45;	I45;	OK;	 ;
15:08:40;	V45;	I45;	OK;	 ;
15:08:40;	V45;	I45;	OK;	 ;
15:08:41;	V45;	I45;	OK;	 ;
15:08:41;	V45;	I45;	OK;	 ;
15:08:42;	V45;	I45;	OK;	A55;
15:09:20;	V56;	I45;	Error;	 ;
15:09:31;	V56;	I56;	OK;	 ;
15:09:35;	V56;	I56;	OK;	 ;
15:09:39;	V56;	I56;	OK;	A45;
15:11:55;	V34;	I34;	OK;	 ;
15:25:25;	V34;	I34;	OK;	 ;
15:27:54;	V34;	I34;	OK;	 ;
15:27:55;	V34;	I34;	OK;	 ;
15:27:56;	V34;	I34;	OK;	 ;
15:27:57;	V34;	I34;	OK;	 ;
15:27:57;	V34;	I34;	OK;	 ;
15:27:58;	V34;	I34;	OK;	 ;
15:27:58;	V34;	I34;	OK;	 ;
15:27:59;	V34;	I34;	OK;	 ;
15:27:59;	V34;	I34;	OK;	 ;
15:28:00;	V34;	I34;	OK;	 ;
15:28:01;	V34;	I34;	OK;	 ;
15:28:02;	V34;	I34;	OK;	 ;
15:28:02;	V34;	I34;	OK;	 ;
15:28:02;	V34;	I34;	OK;	 ;
15:28:03;	V34;	I34;	OK;	 ;
15:28:03;	V34;	I34;	OK;	 ;
15:28:23;	V34;	I34;	OK;	 ;
15:28:24;	V34;	I34;	OK;	 ;
15:28:26;	V34;	I34;	OK;	 ;
15:28:26;	V34;	I34;	OK;	 ;
15:28:27;	V34;	I34;	OK;	 ;
15:28:27;	V34;	I34;	OK;	 ;
15:28:28;	V34;	I34;	OK;	 ;
15:28:29;	V34;	I34;	OK;	 ;
15:28:34;	V34;	I34;	OK;	 ;
15:28:34;	V34;	I34;	OK;	 ;
15:28:35;	V34;	I34;	OK;	 ;
15:28:36;	V34;	I34;	OK;	 ;
15:28:36;	V34;	I34;	OK;	 ;
15:28:37;	V34;	I34;	OK;	I54;
15:33:34;	V67;	I67;	OK;	 ;
15:33:36;	V67;	I67;	OK;	 ;
15:33:53;	V67;	I67;	OK;	 ;
15:33:53;	V67;	I67;	OK;	 ;
15:33:54;	V67;	I67;	OK;	 ;
15:33:55;	V67;	I67;	OK;	 ;
15:33:56;	V67;	I67;	OK;	 ;
15:33:57;	V67;	I67;	OK;	 ;
15:34:02;	V67;	I67;	OK;	 ;
15:34:03;	V67;	I67;	OK;	 ;
15:34:11;	V67;	I67;	OK;	 ;
15:34:14;	V67;	I67;	OK;	A654874568340986720394;
15:41:52;	V56;	I56;	OK;	 ;
15:41:54;	V56;	I567;	Error;	 ;
15:42:10;	V56;	I56;	OK;	4F555673;
15:49:58;	V34;	I34;	OK;	 ;
15:50:01;	V34;	I34;	OK;	A45;
15:52:41;	V35;	I35;	OK;	 ;
15:52:43;	V35;	I35;	OK;	 ;
15:52:46;	V35;	I35;	OK;	A6765;
15:53:21;	V99;	I99;	OK;	A999;
16:42:58;	V567;	I567;	OK;	 ;
16:43:01;	V567;	I567;	OK;	 ;
16:43:03;	V567;	I567;	OK;	 ;
16:43:08;	V567;	I567;	OK;	 ;
16:43:10;	V567;	I567;	OK;	A5444445;
